# Potential function.
#  r             r*V(r)
   3.014769E-01 -1.524262E+01
   3.025902E-01 -1.519536E+01
   3.048168E-01 -1.510139E+01
   3.059302E-01 -1.505468E+01
   3.070435E-01 -1.500816E+01
   3.081568E-01 -1.496181E+01
   3.092701E-01 -1.491564E+01
   3.114967E-01 -1.482385E+01
   3.126101E-01 -1.477822E+01
   3.137234E-01 -1.473277E+01
   3.148367E-01 -1.468749E+01
   3.159500E-01 -1.464239E+01
   3.170633E-01 -1.459746E+01
   3.181766E-01 -1.455271E+01
   3.204033E-01 -1.446374E+01
   3.215166E-01 -1.441951E+01
   3.226299E-01 -1.437545E+01
   3.237432E-01 -1.433156E+01
   3.248565E-01 -1.428785E+01
   3.259699E-01 -1.424430E+01
   3.270832E-01 -1.420092E+01
   3.281965E-01 -1.415771E+01
   3.293098E-01 -1.411467E+01
   3.304231E-01 -1.407180E+01
   3.315364E-01 -1.402909E+01
   3.326497E-01 -1.398655E+01
   3.337631E-01 -1.394418E+01
   3.359897E-01 -1.385992E+01
   3.371030E-01 -1.381804E+01
   3.382163E-01 -1.377632E+01
   3.404430E-01 -1.369337E+01
   3.415563E-01 -1.365213E+01
   3.426696E-01 -1.361106E+01
   3.437829E-01 -1.357014E+01
   3.448962E-01 -1.352939E+01
   3.462994E-01 -1.347824E+01
   3.477026E-01 -1.342735E+01
   3.491058E-01 -1.337671E+01
   3.505090E-01 -1.332631E+01
   3.519122E-01 -1.327616E+01
   3.533155E-01 -1.322626E+01
   3.547187E-01 -1.317660E+01
   3.561219E-01 -1.312718E+01
   3.575251E-01 -1.307801E+01
   3.589283E-01 -1.302908E+01
   3.603315E-01 -1.298038E+01
   3.610331E-01 -1.295613E+01
   3.617347E-01 -1.293193E+01
   3.631379E-01 -1.288371E+01
   3.645411E-01 -1.283573E+01
   3.659443E-01 -1.278798E+01
   3.673475E-01 -1.274047E+01
   3.687507E-01 -1.269319E+01
   3.701539E-01 -1.264614E+01
   3.715571E-01 -1.259932E+01
   3.729603E-01 -1.255273E+01
